word,key
the,1
and,2
to,3
a,4
is,5
you,6
class,7
he,8
of,9
i,10
in,11
but,12
she,13
are,14
for,15
very,16
not,17
it,18
this,19
was,20
his,21
if,22
professor,23
on,24
her,25
that,26
with,27
so,28
easy,29
have,30
do,31
an,32
take,33
be,34
as,35
lectures,36
at,37
really,38
about,39
all,40
will,41
exams,42
great,43
good,44
students,45
tests,46
your,47
hard,48
get,49
him,50
had,51
just,52
can,53
lot,54
one,55
were,56
work,57
my,58
no,59
what,60
material,61
questions,62
time,63
from,64
course,65
teacher,66
would,67
grade,68
quizzes,69
well,70
help,71
there,72
don't,73
up,74
best,75
assignments,76
homework,77
or,78
only,79
like,80
has,81
because,82
go,83
lecture,84
make,85
helpful,86
study,87
which,88
final,89
does,90
difficult,91
understand,92
nice,93
makes,94
much,95
interesting,96
out,97
recommend,98
also,99
he's,100
gives,101
dr,102
online,103
more,104
every,105
learn,106
ever,107
notes,108
test,109
credit,110
book,111
even,112
than,113
read,114
too,115
always,116
exam,117
me,118
when,119
pretty,120
extra,121
most,122
need,123
know,124
took,125
by,126
teaching,127
guy,128
it's,129
any,130
prof,131
super,132
them,133
classes,134
hours,135
doesn't,136
how,137
semester,138
long,139
they,140
extremely,141
2,142
way,143
sure,144
definitely,145
cares,146
clear,147
other,148
3,149
did,150
made,151
never,152
we,153
week,154
she's,155
taking,156
some,157
everything,158
bad,159
i've,160
who,161
textbook,162
overall,163
boring,164
fun,165
grades,166
amazing,167
over,168
got,169
reading,170
you'll,171
before,172
office,173
teach,174
first,175
grading,176
though,177
want,178
attendance,179
each,180
during,181
off,182
things,183
professors,184
group,185
points,186
funny,187
going,188
quot,189
us,190
should,191
little,192
actually,193
problems,194
didn't,195
tough,196
wants,197
however,198
pass,199
understanding,200
papers,201
through,202
give,203
taken,204
then,205
person,206
put,207
fair,208
people,209
fine,210
again,211
you're,212
1,213
learned,214
math,215
knows,216
teaches,217
slides,218
could,219
worst,220
think,221
feedback,222
many,223
practice,224
grader,225
better,226
b,227
project,228
ask,229
willing,230
based,231
still,232
highly,233
awesome,234
subject,235
paper,236
two,237
sometimes,238
its,239
due,240
anything,241
isn't,242
into,243
hw,244
attention,245
end,246
kind,247
after,248
learning,249
concepts,250
4,251
lots,252
answer,253
discussion,254
10,255
times,256
weekly,257
far,258
use,259
readings,260
quiz,261
show,262
review,263
effort,264
writing,265
pay,266
everyone,267
5,268
midterm,269
bit,270
student,271
passionate,272
caring,273
being,274
mandatory,275
open,276
lab,277
projects,278
love,279
content,280
day,281
ta,282
worth,283
follow,284
few,285
outside,286
goes,287
examples,288
stuff,289
graded,290
doing,291
say,292
taught,293
accent,294
takes,295
down,296
nothing,297
yourself,298
attend,299
question,300
come,301
own,302
reviews,303
avoid,304
assignment,305
write,306
dont,307
information,308
gave,309
feel,310
life,311
back,312
experience,313
loved,314
try,315
topics,316
knowledgeable,317
while,318
answers,319
succeed,320
videos,321
straight,322
am,323
emails,324
care,325
our,326
enough,327
i'm,328
100,329
such,330
discussions,331
explain,332
favorite,333
lecturer,334
tell,335
thing,336
confusing,337
prepared,338
enjoyed,339
u,340
different,341
another,342
been,343
keep,344
curve,345
real,346
honestly,347
explains,348
clearly,349
since,350
essays,351
fast,352
something,353
must,354
aren't,355
seems,356
those,357
went,358
probably,359
truly,360
participation,361
often,362
easier,363
horrible,364
engaging,365
helps,366
problem,367
heavy,368
job,369
won't,370
almost,371
can't,372
major,373
c,374
said,375
absolutely,376
terrible,377
required,378
talk,379
amount,380
wasn't,381
comments,382
multiple,383
tries,384
same,385
expect,386
man,387
anyone,388
posts,389
possible,390
impossible,391
topic,392
thought,393
last,394
there's,395
point,396
sweet,397
talking,398
choice,399
basically,400
without,401
where,402
sense,403
used,404
says,405
expects,406
gets,407
harder,408
easily,409
genuinely,410
although,411
amp,412
cool,413
fairly,414
find,415
see,416
half,417
level,418
short,419
excellent,420
available,421
needed,422
challenging,423
once,424
watch,425
school,426
able,427
whole,428
may,429
provides,430
done,431
interested,432
high,433
simple,434
their,435
found,436
explaining,437
both,438
part,439
entire,440
incredibly,441
miss,442
wish,443
studying,444
least,445
important,446
labs,447
knowledge,448
research,449
else,450
style,451
usually,452
powerpoints,453
comes,454
quite,455
instructor,456
rude,457
complete,458
average,459
given,460
around,461
making,462
getting,463
especially,464
helped,465
three,466
listen,467
loves,468
fail,469
stay,470
essay,471
summer,472
right,473
someone,474
felt,475
straightforward,476
wrong,477
literally,478
college,479
why,480
until,481
matter,482
unclear,483
word,484
smart,485
english,486
late,487
world,488
weeks,489
that's,490
having,491
organized,492
exactly,493
forward,494
teachers,495
prepare,496
look,497
unless,498
either,499
participate,500
opportunities,501
instead,502
reason,503
guides,504
completely,505
big,506
seem,507
physics,508
mostly,509
uses,510
history,511
ready,512
