review_text,male,female
"She is super helpful and always wanting to give people extra credit on exams. I probably should have got a C in this class but got an A- due to her grading style. Only exams are graded, they are hard but she preps you well & they are open note (1 page 2sided). She also gives extra credit points for attendance (even if you just join zoom).",2.3083750022578897e-8,1
"Not a Fan. Honestly, probably the worst professors I've had as of yet (3rd yr MechE). Lectures are an absolute waste of time, messy, incoherent, and are unneccesary. Be ready to teach yourself. Chegg is the only way I got through the HW, and the exams were (mostly) from the textbook, although he pulled out stupid stuff for the final. Just avoid.",0.9999998807907104,8.533282169764789e-8
Very boring lectures but don't skip them otherwise you'll end up being behind. Exams were pretty rough and the homework she gave was extensive and some of the questions on them were never covered in class. Examples she gave in class was helpful though. She wasn't the worst but there's definitely better lecturers out there.,2.2280870481949933e-8,1
"Absolutely, 100% go to this guy if you want to learn something. He turns the difficulty up to 11, but it's worth it. Easily the best CS teacher I've ever had. If you want to do well, you gotta go to recitations, and you gotta pay attention/ask question during class.",1,1.978298946880841e-8
"Was her first semester teaching this course. The first exam was ROUGH, but because it was her first semester teaching the class she constantly asked for feedback and she actually acted on it by giving extra credit in different forms, going more in depth in topics and grading of exams. Very fair and reasonable professor, even video recorded lectures",0.008530410006642342,0.9914695620536804
"It's rare to find a professor that genuinely wants you to succeed as much as he does. With the amount of time he makes himself available to you, it's completely on you if you can't grasp something. He wants you to take something away from this class. Cannot recommend him enough.",1,4.886475579723992e-8
I actually had him for ES3003 Intro Fluid Mechanics at the University of Tulsa which is where he now teaches. The homework was at a great pace and length and the exams were mostly straight from the homework and then a few conceptual/dimensional analysis problems. His office hours were right after lecture which made him very accessible too,1,4.9537792534692926e-8
"The professor was obviously knowledgeable, but the coursework was easy because it consisted of reading quizzes and reflections that did not thoroughly test knowledge. Assignments were graded slowly and with little feedback, which could have been due to the the large class size that made connection difficult even with encouraged participation.",1.9259206851529598e-7,0.9999997615814209
Her notes dont match up with the exams or the HWs,1,2.3847551489097896e-8
"She goes through alot of material but her test focus mostly on her notes , she has class discussions and in those you talk about book but there are no test questions on the book . If you skim over the notes you should be good .",1.315126940681921e-8,1
Professor Silva has been my favorite professor at FIU so far! He is so sweet and has a great sense of humor keeping the class interesting. If you follow his instructions and do you part you will definitely pass the class. He puts you in groups and that's very helpful. Has great reviews for the midterm and final!,0.9999998807907104,6.813349529011248e-8
"Professor Duarte is great. I enjoyed taking this class and learned so much from it. At the beginning, you might think it's complected but it will keep getting easier. He responses to emails very quickly. I would take him again for sure!",0.9999998807907104,1.3223601058598433e-7
He is a good teacher. Some of us try to blame our professors for our misery. You need to read.,0.9999980926513672,1.9617100406321697e-6
"The course itself was easy, there was only one assignment due every week, and a discussion. It was completely online, but look ahead of the assignments because some of them require viewing an in-person music performance and writing about the experience.",0.9999997615814209,2.3359869771866215e-7
"This was an early morning class, so maybe it took her a few hours to get her head in the game, but her examples always seemed kinda off. A lot of us didn't really get her, it seems like she had a vague interest in how well we did. I have to say she was better one on one.",3.897289570886642e-5,0.9999610185623169
"Don't be scared by what people say, Zellmer is great and really wants to see students succeed. Yes, Sunday quizzes aren't the best but they help to prep for exams, and yes there are a lot of emails every day. He covers a lot in lecture so skipping is gonna set you back big time. He's tough but he also clearly loves teaching.",1,3.713380891667839e-8
"Professor Soffer, while at times can be a bit unclear, did a great job of teaching linear algebra. She uses PowerPoint, which is not as bad as it may seem. Tests and quizzes are straightforward and fair. As long as you attend class, take notes, and do practice problems (i.e. the homework), you will find the class easy.",2.0318640991945358e-8,1
"Do not take this genetics class. There are plenty of other professors that truly care about your success. Fischer is not one of them. Lectures are completely conceptual, while exams (make up your whole grade) are all application. She provides zero study/review resources and only assigns homework (not for a grade). She gives zero partial credit. ",7.576493885608215e-7,0.9999992847442627
The class itself is very easy. She is a wonderful teacher and is always there if you need help! Her class is never boring (unlike most math classes) thanks to her quirky personality. I would recommend her for any math class you need to take at UCF. Great teacher!,2.6895486371358857e-5,0.9999730587005615
Took too long to grade research papers and barely responded to emails. There was a total of 6 six papers that had to be turned in and only of them was posted by the end of the semester.,0.999998927116394,1.0809687864821171e-6
